time,seed,event,user_id,user_stance,user_partition,ranking,num_rank,num_news,news_stance,highlight,in_this_session
1754935325,224,Interaction,12,-2,-1,0257413968,0,0,-2,False,False
1754935363,213,Interaction,16,0,0,2849701653,0,2,-1,True,False
1754935370,121,Interaction,18,-2,-1,5260497381,2,6,1,True,False
1754935395,233,Interaction,12,-2,-1,5801346297,2,0,-2,False,False
1754935415,221,Interaction,15,-1,-1,6472580319,0,6,1,True,False
1754935426,132,Interaction,18,-2,-1,5471829630,2,7,1,True,False
1754935485,223,Interaction,18,-2,-1,0325468179,4,4,0,True,False
1754935501,231,Interaction,16,1,1,7961024583,2,6,1,False,False
1754935515,213,Interaction,21,2,1,6940871253,1,9,2,False,False
1754935519,113,Interaction,19,0,0,2879504631,7,6,1,True,False
1754935521,224,Interaction,18,2,1,1852749063,1,8,2,True,False
1754935540,212,Interaction,16,1,1,9874516032,5,1,-2,False,False
1754935543,232,Interaction,17,2,1,4917602853,3,7,1,True,False
1754935587,131,Interaction,21,2,1,1504782639,8,3,-1,False,False
1754935615,222,Interaction,21,2,1,4738162950,1,7,1,False,False
1754935630,122,Interaction,11,-1,-1,5429170863,2,2,-1,False,False
1754935640,124,Interaction,21,2,1,2165893740,7,7,1,False,False
1754935641,211,Interaction,20,0,0,4621085973,2,2,-1,False,False
1754935652,114,Interaction,13,1,1,5127309648,7,6,1,True,False
1754935673,234,Interaction,15,-2,-1,1435978206,0,1,-2,True,False
1754935688,123,Interaction,22,-1,-1,4301679285,2,0,-2,True,False
1754935698,133,Interaction,17,1,1,3594062871,8,7,1,True,False
1754935700,214,Interaction,20,0,0,5467832190,3,7,1,False,False
1754935740,134,Interaction,16,-1,-1,4129783506,0,4,0,True,False
1754935742,132,Interaction,20,0,0,5741829630,4,8,2,False,False
1754935747,111,Interaction,19,1,1,4153806927,2,5,0,False,False
1754935753,212,Interaction,13,1,1,9874156032,5,5,0,False,False
1754935811,214,Interaction,17,-1,-1,5819043267,2,1,-2,True,False
1754935815,222,Interaction,19,-1,-1,3146078295,1,1,-2,False,False
1754935818,133,Interaction,20,0,0,3594076281,4,0,-2,False,False
1754935827,113,Interaction,15,1,1,2879504631,4,5,0,True,False
1754935865,232,Interaction,24,1,1,4791602853,1,7,1,True,False
1754935877,224,Interaction,24,1,1,8152749063,6,9,2,True,False
1754935880,111,Interaction,17,2,1,4513806927,6,6,1,True,False
